id,condition,text,cX_archeo1,cX_archeo2,cX_archeo3,cX_archeo4,cX_archeo5,cX_archeo6,cX_archeo7,cX_archeo8,cX_entom1,cX_entom2,cX_entom3,cX_entom4,cX_entom5,cX_entom6,cX_entom7
94,archeo,"Archaeologists are able to tell from bones of humans thousand years old whether the person was male or female, their age and - from their teeth - at what age the infant stopped drinking their mother's milk.  It was also possible to tell from tools which hand was dominant in Neanderthals (most were right handed) and that enlarged areas of their nasal canal indicated greater breathing capacity which in turn indicates they probably had some capacity for speech - which great apes do not.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,archeo,Able to tell age humans stopped drinking mothers milk. Door canal longer in humans. Same as Neanderthals. Can tell from bones how old someone was when they died.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,archeo,"Archaelogists are able to tell from bones whether a skeleton is male or female as well as their age and their health.  They can also determine from the teeth the rough age of when they stopped drinking their mothers milk.  With regard to human languages, they can also get a good idea about the extent of their vocabulary as the nerve controlling speech is larger than that in animals and also that of neandothols.  They are also able to determine that most neandothals were right handed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,archeo,From testing the teeth of Neanderthals archaeologists can tell when they stopped drinking the milk of their mothers from the teeth of remains from thousands of years before. Archaeologists can tell that Neanderthals were right handed by the tools they made and that they were able to develop their own form of language. Archologists can tell that humans need bigger trachea for speaking and the food we eat.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,archeo,"Archeologiar have been able to find ways to denote the age, sex, languages of people from  their bones . They also have been able to tell when a human stopped sucking from the structure of their tooth.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,archeo,"Archaeologists, scientists who study the historical remains of humans, are able to tell, by studying their bones, whether someone was male or female, how old they were when they died and, by examining their teeth, what age they stopped drinking their mother's milk.  Archaeologists are also able to infer things about how humans and our cousins lived. For example, the nerve controlling breathing in humans is more sensitive compared to that of apes, likely due to the increased sensitivity of breathe require for talking. The canal surrounding the nerve is enlarged in humans as a result. This nerve is also larger in Neanderthals, suggesting that they may have been able to communicate via talking.   Archaeologists have also been able to determine that the majority of Neanderthals were right handed, which is a trait that is thought to be influenced by linguistics - providing further evidence that Neanderthals had language and could communicate through talking.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,archeo,it was unliable I am not sure how much I can rely upon this information to form  a useful conculcusion on this occation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,archeo,"Archaeologists have been able to determine the sex of human remains, they can determine the age of death and whether the person had diseases.  They can also learn the age at which mothers stopped breast feeding their young by the composition of their teeth.    They have also been able to link the ability of using complex speech in ancient humans (including potentially neanderthals) because of a certain nerve that is enlarged in homo sapiens and neanderthals, but not found in apes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,archeo,Archeologists can find out at what age humans stopped drinking their mother's milk by studying their bones.  The muscles that control breathing are enlarged in humans as we need more control over our breathing than apes in order to talk.  This is also found in Neanderthals.  Archeologists can study handidness which they believe is evolutionary and may be linked to language which could show that Neanderthals had some sort of language.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,archeo,They can tell from bones if someone was male or female and if they suffered from a range of diseases. They can tell what age they were when they died how long ago they died and if they drank their mothers milk based on their teeth. They can also analyse tools that they made that most of them were right handed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,archeo,Archaeologists are very clever educated people who can use techniques to deterine if humans drank their mothers milk or not when they were young.This shows because of the calcium amounts in their teeth. They are also able to find out the age and sex of the person from bone samples and if they got diseases or not when they were alive.They can also establish a cause of death from the bones provided.They can also show that if a person breathed deeper than other examples of humans then they might be able to master speech and even create a language with which to communicate. Tools that have been discovered that point to whether the human was right or left handed and this could indicate if they were able to learn languages or not -these people were possibly Neanderthals.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,archeo,"Archeologists study history and the evolution of human history.  By studying the bones of skeletons, thousands of years old, they can determine at what age the body stopped drinking their mother's milk.  They discovered language was used by neanderthal's as they discovered that a nerve that controls breathing is larger in neanderthals then in apes.  Humans have a bigger nerve than apes as more control is needed over breathing when speaking.  The study of tools used shows that neanderthals were mainly right handed.  Handedesness is also linked to the evolution of language.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
