Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413295ce203d864bd5082f0,62c8391cd913ab9b5317d5f9,AWAITING REVIEW,2023-03-16T14:36:12.542000Z,2023-03-16T14:39:03.016000Z,,2023-03-16T14:39:04.384246Z,171,5A34BA6B,582,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295d149c409978703547,5bb0e35556161d0001feccdc,AWAITING REVIEW,2023-03-16T14:36:17.772000Z,2023-03-16T14:39:34.235000Z,,2023-03-16T14:39:34.661720Z,197,5A34BA6B,1190,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6413295d39d4030af1373e44,63c15473935ae0d7279b094f,AWAITING REVIEW,2023-03-16T14:36:16.375000Z,2023-03-16T14:39:38.033000Z,,2023-03-16T14:39:38.698684Z,202,5A34BA6B,142,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413295d4c72b78c7c44a14f,5e580bcf4782bd01723249e2,AWAITING REVIEW,2023-03-16T14:36:16.900000Z,2023-03-16T14:39:33.407000Z,,2023-03-16T14:39:34.877699Z,197,5A34BA6B,1093,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413295d7d7c90de072ba408,63d13c07fe685427e3f96138,AWAITING REVIEW,2023-03-16T14:36:13.332000Z,2023-03-16T14:39:24.849000Z,,2023-03-16T14:39:25.220354Z,192,5A34BA6B,94,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6413295d8df17302473cf7a7,5ea9e24300721714922897a3,AWAITING REVIEW,2023-03-16T14:36:51.199000Z,2023-03-16T14:40:34.838000Z,,2023-03-16T14:40:35.275690Z,224,5A34BA6B,327,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413295db03cedd83f5a0002,5eaab188fb863f000b25b341,AWAITING REVIEW,2023-03-16T14:36:17.528000Z,2023-03-16T14:39:41.571000Z,,2023-03-16T14:39:41.995039Z,205,5A34BA6B,63,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6413295de021b82ab40f5762,62db2644ab0a3a353c0dcb54,AWAITING REVIEW,2023-03-16T14:36:19.426000Z,2023-03-16T14:39:41.839000Z,,2023-03-16T14:39:42.290313Z,203,5A34BA6B,728,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6413295e2de32f73fc373e53,62c97799bd8ab72a531abde0,AWAITING REVIEW,2023-03-16T14:36:16.713000Z,2023-03-16T14:39:36.037000Z,,2023-03-16T14:39:36.412775Z,200,5A34BA6B,516,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
6413295e41eacff36e93a83c,63d7d2852834c446e1e06b73,AWAITING REVIEW,2023-03-16T14:36:17.704000Z,2023-03-16T14:39:59.453000Z,,2023-03-16T14:39:59.966261Z,222,5A34BA6B,15,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
