screening,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
,431,"G Pennycook, DG Rand",The psychology of fake news,2021,Trends in cognitive sciences,Elsevier,https://www.sciencedirect.com/science/article/pii/S1364661321000516,"https://scholar.google.com/scholar?cites=14396542033477471912&as_sdt=2005&sciodt=0,5&hl=en",21,3/2/23 10:43,HTML,,,,,,,,431,215.50,216,2,2,… (B) Difference in overall belief (average of belief in true news and belief in false news) between participants who scored higher on the Cognitive Reflection Test relative to those who …,https://www.sciencedirect.com/science/article/pii/S1364661321000516,"https://scholar.google.com/scholar?q=related:qI5nC7TKyscJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,175,"M Visentin, G Pizzi, M Pichierri","Fake news, real problems for brands: The impact of content truthfulness and source credibility on consumers' behavioral intentions toward the advertised brands",2019,Journal of Interactive …,journals.sagepub.com,https://journals.sagepub.com/doi/pdf/10.1016/j.intmar.2018.09.001,"https://scholar.google.com/scholar?cites=4653306930030974536&as_sdt=2005&sciodt=0,5&hl=en",22,3/2/23 10:43,,10.1016/j.intmar.2018.09.001,,,,,,,175,43.75,58,3,4,"… fake news on online advertising. Specifically, we explore a mediation chain that considers individuals' perceptions of news and source credibility… fake) and source credibility (ie, whether …",,"https://scholar.google.com/scholar?q=related:SBZco__dk0AJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,51,"S Kim, S Kim",The Crisis of public health and infodemic: Analyzing belief structure of fake news about COVID-19 pandemic,2020,Sustainability,mdpi.com,https://www.mdpi.com/903506,"https://scholar.google.com/scholar?cites=17158452360875188829&as_sdt=2005&sciodt=0,5&hl=en",23,3/2/23 10:43,,,,,,,,,51,17.00,26,2,3,"… finds that knowledge about fake news is positively related to belief in fake news. Moreover, the result shows that knowledge performs the function of further confirming fake news. In the …",https://www.mdpi.com/2071-1050/12/23/9904/pdf,"https://scholar.google.com/scholar?q=related:XaJtSYMRH-4J:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,1251,"G Pennycook, DG Rand","Lazy, not biased: Susceptibility to partisan fake news is better explained by lack of reasoning than by motivated reasoning",2019,Cognition,Elsevier,https://www.sciencedirect.com/science/article/pii/S001002771830163X,"https://scholar.google.com/scholar?cites=2481251703861696936&as_sdt=2005&sciodt=0,5&hl=en",24,3/2/23 10:43,,,,,,,,,1251,312.75,626,2,4,"… with the perceived accuracy of fake news, and positively correlated with the ability to discern … belief in fake news: A motivated reasoning account that suggests that belief in fake news is …",https://topicminer.hse.ru/rsf2019/literature/conspiracy-thinking/Pennycook%2520%25D0%25B8%2520Rand%2520-%25202019%2520-%2520Lazy%252C%2520not%2520biased%2520Susceptibility%2520to%2520partisan%2520fake%2520.pdf,"https://scholar.google.com/scholar?q=related:qFkCR0ctbyIJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,70,S Chambers,"Truth, deliberative democracy, and the virtues of accuracy: is fake news destroying the public sphere?",2021,Political Studies,journals.sagepub.com,https://journals.sagepub.com/doi/pdf/10.1177/0032321719890811,"https://scholar.google.com/scholar?cites=9527961254003746894&as_sdt=2005&sciodt=0,5&hl=en",25,3/2/23 10:43,PDF,10.1177/0032321719890811,,,,,,,70,35.00,70,1,2,"… fake news. The question I ask in this article is, do the epistemic uncertainties connected … fake news represent just another layer to our mediatized access to factual truth, or is fake news …",https://journals.sagepub.com/doi/pdf/10.1177/0032321719890811,"https://scholar.google.com/scholar?q=related:TiiUekceOoQJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,79,"D Halpern, S Valenzuela, J Katz, JP Miranda","From belief in conspiracy theories to trust in others: Which factors influence exposure, believing and sharing fake news",2019,"… 2019, Held as Part of the …",Springer,https://link.springer.com/chapter/10.1007/978-3-030-21902-4_16,"https://scholar.google.com/scholar?cites=6212525728496192672&as_sdt=2005&sciodt=0,5&hl=en",26,3/2/23 10:43,,10.1007/978-3-030-21902-4_16,,,,,,,79,19.75,20,4,4,"… to fake news” and “credibility in fake news.” We found three variables mediated by credibility in fake news… an effect in sharing fake news, but only through the credibility of fake news. So, …",https://www.researchgate.net/profile/Juan-Orrego-Miranda/publication/334352599_From_Belief_in_Conspiracy_Theories_to_Trust_in_Others_Which_Factors_Influence_Exposure_Believing_and_Sharing_Fake_News/links/5f6ba73e92851c14bc9228c5/From-Belief-in-Conspiracy-Theories-to-Trust-in-Others-Which-Factors-Influence-Exposure-Believing-and-Sharing-Fake-News.pdf,"https://scholar.google.com/scholar?q=related:oIz9FDxTN1YJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,384,"G Pennycook, A Bear, ET Collins, ...",The implied truth effect: Attaching warnings to a subset of fake news headlines increases perceived accuracy of headlines without warnings,2020,Management …,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2019.3478,"https://scholar.google.com/scholar?cites=10497974027071705931&as_sdt=2005&sciodt=0,5&hl=en",27,3/2/23 10:43,,10.1287/mnsc.2019.3478,,,,,,,384,128.00,96,4,3,… warning tags will effectively reduce belief in false news. … We begin by introducing a Bayesian model of belief updating in … rated the accuracy of a series of true and false (fake news) …,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2019.3478,"https://scholar.google.com/scholar?q=related:S9PiyMFLsJEJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,30,"A Pereira, E Harris, ...",Identity concerns drive belief: The impact of partisan identity on the belief and dissemination of true and false news,2023,Group Processes & …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/13684302211030004,"https://scholar.google.com/scholar?cites=4601937383503624288&as_sdt=2005&sciodt=0,5&hl=en",28,3/2/23 10:43,,10.1177/13684302211030004,,,,,,,30,30.00,10,3,1,"… In Experiment 2, we measured not only belief in fake news but also willingness to share the … on belief in fake news and willingness to share fake news in the supplemental material. …",https://journals.sagepub.com/doi/pdf/10.1177/13684302211030004,"https://scholar.google.com/scholar?q=related:YPhSDqtd3T8J:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,577,"G Pennycook, DG Rand","Who falls for fake news? The roles of bullshit receptivity, overclaiming, familiarity, and analytic thinking",2020,Journal of personality,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12476,"https://scholar.google.com/scholar?cites=714448492465183290&as_sdt=2005&sciodt=0,5&hl=en",29,3/2/23 10:43,,10.1111/jopy.12476,,,,,,,577,192.33,289,2,3,"… Our results suggest that belief in fake news may be driven, to some extent, by a general tendency to be overly accepting of weak claims. This tendency, which we refer to as reflexive …",https://dspace.mit.edu/bitstream/handle/1721.1/135508/SSRN-id3023545.pdf?sequence=2&isAllowed=y,"https://scholar.google.com/scholar?q=related:OlqzWx476gkJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
,99,"J Melki, H Tamim, D Hadid, M Makki, J El Amine, E Hitti",Mitigating infodemics: The relationship between news exposure and trust and belief in COVID-19 fake news and social media spreading,2021,Plos one,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252830,"https://scholar.google.com/scholar?cites=8842951585104854005&as_sdt=2005&sciodt=0,5&hl=en",30,3/2/23 10:43,HTML,,,,,,,,99,49.50,17,6,2,… social media preceded the ubiquitous fake news era [11]. In … will be (a) positively associated with belief in myths and false … will be negatively associated with belief in COVID-19 myths …,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252830,"https://scholar.google.com/scholar?q=related:9fsmXJ15uHoJ:scholar.google.com/&scioq=%22fake+news%22%7C%22false+news%22%7C%22false+stor*%22+%22accuracy%22%7C%22discernment%22%7C%22credibility%22%7C%22belief%22%7C%22suceptib*%22&hl=en&as_sdt=0,5&as_vis=1"
